Autoid;CUP;Valor;Compania
2001;904202;33405;CLINICA SAN JUAN DE DIOS
2001;904201;33405;CLINICA SAN JUAN DE DIOS
2001;904902;23990;CLINICA SAN JUAN DE DIOS
2001;904903;22475;CLINICA SAN JUAN DE DIOS
2001;904904;30965;CLINICA SAN JUAN DE DIOS
2001;904905;27525;CLINICA SAN JUAN DE DIOS
2001;904906;30965;CLINICA SAN JUAN DE DIOS
2001;904105;27680;CLINICA SAN JUAN DE DIOS
2001;904106;226715;CLINICA SAN JUAN DE DIOS
2001;904107;28945;CLINICA SAN JUAN DE DIOS
2001;904911;53285;CLINICA SAN JUAN DE DIOS
2001;904912;53285;CLINICA SAN JUAN DE DIOS
2001;904913;53285;CLINICA SAN JUAN DE DIOS
2001;904914;53285;CLINICA SAN JUAN DE DIOS
2001;906232;25930;CLINICA SAN JUAN DE DIOS
2001;906233;38625;CLINICA SAN JUAN DE DIOS
2001;902027;35605;CLINICA SAN JUAN DE DIOS
2001;906823;13675;CLINICA SAN JUAN DE DIOS
2001;906824;12260;CLINICA SAN JUAN DE DIOS
2001;906825;91180;CLINICA SAN JUAN DE DIOS
2001;906826;13585;CLINICA SAN JUAN DE DIOS
2001;906827;26710;CLINICA SAN JUAN DE DIOS
2001;906833;17535;CLINICA SAN JUAN DE DIOS
2001;906834;21955;CLINICA SAN JUAN DE DIOS
2001;906835;19050;CLINICA SAN JUAN DE DIOS
2001;906836;19050;CLINICA SAN JUAN DE DIOS
2001;906828;13585;CLINICA SAN JUAN DE DIOS
2001;906829;26710;CLINICA SAN JUAN DE DIOS
2001;906831;13585;CLINICA SAN JUAN DE DIOS
2001;906832;26710;CLINICA SAN JUAN DE DIOS
2001;906837;33435;CLINICA SAN JUAN DE DIOS
2001;904704;24210;CLINICA SAN JUAN DE DIOS
2001;904705;23665;CLINICA SAN JUAN DE DIOS
2001;904702;50310;CLINICA SAN JUAN DE DIOS
2001;906425;18010;CLINICA SAN JUAN DE DIOS
2001;906426;23330;CLINICA SAN JUAN DE DIOS
2001;904703;118520;CLINICA SAN JUAN DE DIOS
2001;901402;37995;CLINICA SAN JUAN DE DIOS
2001;903605;21760;CLINICA SAN JUAN DE DIOS
2001;903606;35720;CLINICA SAN JUAN DE DIOS
2001;906427;8705;CLINICA SAN JUAN DE DIOS
2001;903429;18605;CLINICA SAN JUAN DE DIOS
2001;906428;9685;CLINICA SAN JUAN DE DIOS
2001;906429;33435;CLINICA SAN JUAN DE DIOS
2001;905406;12920;CLINICA SAN JUAN DE DIOS
2001;E19629;21980;CLINICA SAN JUAN DE DIOS
2001;906430;30455;CLINICA SAN JUAN DE DIOS
2001;E19625;21650;CLINICA SAN JUAN DE DIOS
2001;903024;25240;CLINICA SAN JUAN DE DIOS
2001;906028;32600;CLINICA SAN JUAN DE DIOS
2001;906322;40690;CLINICA SAN JUAN DE DIOS
2001;901228;30720;CLINICA SAN JUAN DE DIOS
2001;M19636;5170;CLINICA SAN JUAN DE DIOS
2001;901311;12510;CLINICA SAN JUAN DE DIOS
2001;903430;21105;CLINICA SAN JUAN DE DIOS
2001;906702;32695;CLINICA SAN JUAN DE DIOS
2001;906704;32695;CLINICA SAN JUAN DE DIOS
2001;906706;51230;CLINICA SAN JUAN DE DIOS
2001;906709;32695;CLINICA SAN JUAN DE DIOS
2001;902216;2680;CLINICA SAN JUAN DE DIOS
2001;905002;12920;CLINICA SAN JUAN DE DIOS
2001;906711;32695;CLINICA SAN JUAN DE DIOS
2001;906722;32695;CLINICA SAN JUAN DE DIOS
2001;906724;44065;CLINICA SAN JUAN DE DIOS
2001;906725;44065;CLINICA SAN JUAN DE DIOS
2001;906730;32695;CLINICA SAN JUAN DE DIOS
2001;906736;32695;CLINICA SAN JUAN DE DIOS
2001;906738;32695;CLINICA SAN JUAN DE DIOS
2001;906718;32695;CLINICA SAN JUAN DE DIOS
2001;906712;51540;CLINICA SAN JUAN DE DIOS
2001;906713;27255;CLINICA SAN JUAN DE DIOS
2001;906714;51540;CLINICA SAN JUAN DE DIOS
2001;906715;38310;CLINICA SAN JUAN DE DIOS
